mapId,hours,pedestrians,trafficLights,trafficDensity,trafficSpeed,camPosX,camPosY,camPosZ,camRotX,camRotY,camRotZ
1,Sunrise,0,0,0.1423406,19,0,20,0,90,180,0
frameId,objectId,x,y,z,tl_x,tl_y,br_x,br_y
136,1777,-20,0,-1,1822,414,2080,504
137,1777,-20,0,-1,1822,414,2080,504
138,1777,-19,0,-1,1792,414,2048,504
139,1777,-19,0,-1,1792,414,2048,504
140,1777,-18,0,-1,1761,414,2015,504
141,1777,-18,0,-1,1761,414,2015,504
142,1777,-18,0,-1,1731,414,1983,504
143,1777,-18,0,-1,1731,414,1983,504
144,1777,-17,0,-1,1701,414,1951,504
145,1777,-17,0,-1,1701,414,1951,504
146,1777,-17,0,-1,1670,414,1919,504
147,1777,-17,0,-1,1670,414,1919,504
148,1777,-16,0,-1,1640,414,1887,504
148,1778,20,1,1,-266,564,112,683
149,1777,-16,0,-1,1640,414,1887,504
149,1778,20,1,1,-266,564,112,683
150,1777,-15,0,-1,1610,414,1855,504
150,1778,19,1,1,-233,564,142,683
151,1777,-15,0,-1,1610,414,1855,504
151,1778,19,1,1,-233,564,142,683
152,1777,-15,0,-1,1579,414,1823,504
152,1778,19,1,1,-201,564,171,683
153,1777,-15,0,-1,1579,414,1823,504
153,1778,19,1,1,-201,564,171,683
154,1777,-14,0,-1,1549,414,1791,504
154,1778,18,1,1,-168,564,200,683
155,1777,-14,0,-1,1549,414,1791,504
155,1778,18,1,1,-168,564,200,683
156,1777,-13,0,-1,1519,414,1758,504
156,1778,18,1,1,-135,564,229,683
157,1777,-13,0,-1,1519,414,1758,504
157,1778,18,1,1,-135,564,229,683
158,1777,-13,0,-1,1488,414,1726,504
158,1778,17,1,1,-103,564,259,683
159,1777,-13,0,-1,1488,414,1726,504
159,1778,17,1,1,-103,564,259,683
160,1777,-12,0,-1,1458,414,1694,504
160,1778,16,1,1,-70,564,288,683
161,1777,-12,0,-1,1458,414,1694,504
161,1778,16,1,1,-70,564,288,683
162,1777,-11,0,-1,1428,414,1662,504
162,1778,16,1,1,-37,564,317,683
163,1777,-11,0,-1,1428,414,1662,504
163,1778,16,1,1,-37,564,317,683
164,1777,-11,0,-1,1397,414,1630,504
164,1778,15,1,1,-4,564,347,683
165,1777,-11,0,-1,1397,414,1630,504
165,1778,15,1,1,-4,564,347,683
166,1777,-10,0,-1,1367,414,1598,504
166,1778,14,1,1,27,564,376,683
167,1777,-10,0,-1,1367,414,1598,504
167,1778,14,1,1,27,564,376,683
168,1777,-10,0,-1,1337,414,1566,504
168,1778,14,1,1,60,564,405,683
169,1777,-10,0,-1,1337,414,1566,504
169,1778,14,1,1,60,564,405,683
170,1777,-9,0,-1,1307,414,1533,504
170,1778,13,1,1,93,564,435,683
171,1777,-9,0,-1,1307,414,1533,504
171,1778,13,1,1,93,564,435,683
172,1777,-8,0,-1,1276,414,1501,504
172,1778,13,1,1,126,564,464,683
173,1777,-8,0,-1,1276,414,1501,504
173,1778,13,1,1,126,564,464,683
174,1777,-8,0,-1,1246,414,1469,504
174,1778,12,1,1,158,564,493,683
175,1777,-8,0,-1,1246,414,1469,504
175,1778,12,1,1,158,564,493,683
176,1777,-7,0,-1,1216,414,1437,504
176,1778,11,1,1,191,564,523,683
177,1777,-7,0,-1,1216,414,1437,504
177,1778,11,1,1,191,564,523,683
178,1777,-6,0,-1,1185,414,1405,504
178,1778,11,1,1,224,564,552,683
179,1777,-6,0,-1,1185,414,1405,504
179,1778,11,1,1,224,564,552,683
180,1777,-6,0,-1,1155,414,1373,504
180,1778,10,1,1,257,564,581,683
181,1777,-6,0,-1,1155,414,1373,504
181,1778,10,1,1,257,564,581,683
182,1777,-5,0,-1,1125,414,1341,504
182,1778,9,1,1,289,564,610,683
183,1777,-5,0,-1,1125,414,1341,504
183,1778,9,1,1,289,564,610,683
184,1777,-4,0,-1,1094,414,1309,504
184,1778,9,1,1,322,564,640,683
185,1777,-4,0,-1,1094,414,1309,504
185,1778,9,1,1,322,564,640,683
186,1777,-4,0,-1,1064,414,1276,504
186,1778,8,1,1,355,564,669,683
187,1777,-4,0,-1,1064,414,1276,504
187,1778,8,1,1,355,564,669,683
188,1777,-3,0,-1,1034,414,1244,504
188,1778,8,1,1,388,564,698,683
189,1777,-3,0,-1,1034,414,1244,504
189,1778,8,1,1,388,564,698,683
190,1777,-2,0,-1,1003,414,1212,504
190,1778,7,1,1,420,564,728,683
191,1777,-2,0,-1,1003,414,1212,504
191,1778,7,1,1,420,564,728,683
192,1777,-2,0,-1,973,414,1180,504
192,1778,6,1,1,453,564,757,683
193,1777,-2,0,-1,973,414,1180,504
193,1778,6,1,1,453,564,757,683
194,1777,-1,0,-1,942,414,1148,504
194,1778,6,1,1,486,564,786,683
195,1777,-1,0,-1,942,414,1148,504
195,1778,6,1,1,486,564,786,683
196,1777,-1,0,-1,909,414,1116,504
196,1778,5,1,1,519,564,816,683
197,1777,-1,0,-1,909,414,1116,504
197,1778,5,1,1,519,564,816,683
198,1777,0,0,-1,877,414,1084,504
198,1778,5,1,1,551,564,845,683
199,1777,0,0,-1,877,414,1084,504
199,1778,5,1,1,551,564,845,683
200,1777,0,0,-1,845,414,1052,504
200,1778,4,1,1,584,564,874,683
201,1777,0,0,-1,845,414,1052,504
201,1778,4,1,1,584,564,874,683
202,1777,0,0,-1,813,414,1019,504
202,1778,3,1,1,617,564,904,683
203,1777,0,0,-1,813,414,1019,504
203,1778,3,1,1,617,564,904,683
204,1777,1,0,-1,781,414,987,504
204,1778,3,1,1,649,564,933,683
205,1777,1,0,-1,781,414,987,504
205,1778,3,1,1,649,564,933,683
206,1777,2,0,-1,749,414,955,504
206,1778,2,1,1,682,564,963,683
207,1777,2,0,-1,749,414,955,504
207,1778,2,1,1,682,564,963,683
208,1777,2,0,-1,717,414,925,504
208,1778,1,1,1,715,564,995,683
209,1777,2,0,-1,717,414,925,504
209,1778,1,1,1,715,564,995,683
210,1777,3,0,-1,684,414,895,504
210,1778,1,1,1,748,564,1028,683
211,1777,3,0,-1,684,414,895,504
211,1778,1,1,1,748,564,1028,683
212,1777,4,0,-1,652,414,864,504
212,1778,0,1,1,780,564,1061,684
213,1777,4,0,-1,652,414,864,504
213,1778,0,1,1,780,564,1061,684
214,1777,4,0,-1,620,414,834,504
214,1778,0,1,1,813,564,1094,684
215,1777,4,0,-1,620,414,834,504
215,1778,0,1,1,813,564,1094,684
216,1777,5,0,-1,588,414,804,504
216,1778,0,1,1,846,564,1126,683
217,1777,5,0,-1,588,414,804,504
217,1778,0,1,1,846,564,1126,683
218,1777,5,0,-1,556,414,773,504
218,1778,-1,1,1,879,564,1159,683
219,1777,5,0,-1,556,414,773,504
219,1778,-1,1,1,879,564,1159,683
220,1777,6,0,-1,524,414,743,504
220,1778,-1,1,1,911,564,1192,683
221,1777,6,0,-1,524,414,743,504
221,1778,-1,1,1,911,564,1192,683
222,1777,7,0,-1,492,414,713,504
222,1778,-2,1,1,944,564,1224,683
223,1777,7,0,-1,492,414,713,504
223,1778,-2,1,1,944,564,1224,683
224,1777,7,0,-1,460,414,682,504
224,1778,-2,1,1,975,564,1257,683
225,1777,7,0,-1,460,414,682,504
225,1778,-2,1,1,975,564,1257,683
226,1777,8,0,-1,427,414,652,504
226,1778,-3,1,1,1004,564,1290,683
227,1777,8,0,-1,427,414,652,504
227,1778,-3,1,1,1004,564,1290,683
228,1777,9,0,-1,395,414,622,504
228,1778,-4,1,1,1034,564,1323,683
229,1777,9,0,-1,395,414,622,504
229,1778,-4,1,1,1034,564,1323,683
230,1777,9,0,-1,363,414,591,504
230,1778,-4,1,1,1063,564,1355,683
231,1777,9,0,-1,363,414,591,504
231,1778,-4,1,1,1063,564,1355,683
232,1777,10,0,-1,331,414,561,504
232,1778,-5,1,1,1092,564,1388,683
233,1777,10,0,-1,331,414,561,504
233,1778,-5,1,1,1092,564,1388,683
234,1777,11,0,-1,299,414,531,504
234,1778,-6,1,1,1122,564,1421,683
235,1777,11,0,-1,299,414,531,504
235,1778,-6,1,1,1122,564,1421,683
236,1777,11,0,-1,267,414,500,504
236,1778,-6,1,1,1151,564,1454,683
237,1777,11,0,-1,267,414,500,504
237,1778,-6,1,1,1151,564,1454,683
238,1777,12,0,-1,235,414,470,504
238,1778,-7,1,1,1180,564,1486,683
239,1777,12,0,-1,235,414,470,504
239,1778,-7,1,1,1180,564,1486,683
240,1777,13,0,-1,203,414,440,504
240,1778,-7,1,1,1210,564,1519,683
241,1777,13,0,-1,203,414,440,504
241,1778,-7,1,1,1210,564,1519,683
242,1777,13,0,-1,170,414,409,504
242,1778,-8,1,1,1239,564,1552,683
243,1777,13,0,-1,170,414,409,504
243,1778,-8,1,1,1239,564,1552,683
244,1777,14,0,-1,138,414,379,504
244,1778,-9,1,1,1268,564,1585,683
245,1777,14,0,-1,138,414,379,504
245,1778,-9,1,1,1268,564,1585,683
246,1777,14,0,-1,106,414,349,504
246,1778,-9,1,1,1297,564,1617,683
247,1777,14,0,-1,106,414,349,504
247,1778,-9,1,1,1297,564,1617,683
248,1777,15,0,-1,74,414,318,504
248,1778,-10,1,1,1327,564,1650,683
249,1777,15,0,-1,74,414,318,504
249,1778,-10,1,1,1327,564,1650,683
250,1777,16,0,-1,42,414,288,504
250,1778,-11,1,1,1356,564,1683,683
251,1777,16,0,-1,42,414,288,504
251,1778,-11,1,1,1356,564,1683,683
252,1777,16,0,-1,10,414,258,504
252,1778,-11,1,1,1385,564,1716,683
253,1777,16,0,-1,10,414,258,504
253,1778,-11,1,1,1385,564,1716,683
254,1777,17,0,-1,-21,414,227,504
254,1778,-12,1,1,1415,564,1748,683
255,1777,17,0,-1,-21,414,227,504
255,1778,-12,1,1,1415,564,1748,683
256,1777,18,0,-1,-54,414,197,504
256,1778,-12,1,1,1444,564,1781,683
257,1777,18,0,-1,-54,414,197,504
257,1778,-12,1,1,1444,564,1781,683
258,1777,18,0,-1,-86,414,167,504
258,1778,-13,1,1,1473,564,1814,683
259,1777,18,0,-1,-86,414,167,504
259,1778,-13,1,1,1473,564,1814,683
260,1777,19,0,-1,-118,414,136,504
260,1778,-14,1,1,1503,564,1846,683
261,1777,19,0,-1,-118,414,136,504
261,1778,-14,1,1,1503,564,1846,683
262,1777,20,0,-1,-150,414,106,504
262,1778,-14,1,1,1532,564,1879,683
263,1777,20,0,-1,-150,414,106,504
263,1778,-14,1,1,1532,564,1879,683
264,1778,-15,1,1,1561,564,1912,683
265,1778,-15,1,1,1561,564,1912,683
266,1778,-15,1,1,1591,564,1945,683
267,1778,-15,1,1,1591,564,1945,683
268,1778,-16,1,1,1620,564,1977,683
269,1778,-16,1,1,1620,564,1977,683
270,1778,-17,1,1,1649,564,2010,683
271,1778,-17,1,1,1649,564,2010,683
272,1778,-17,1,1,1679,564,2043,683
273,1778,-17,1,1,1679,564,2043,683
274,1778,-18,1,1,1708,564,2076,683
275,1778,-18,1,1,1708,564,2076,683
276,1778,-19,1,1,1737,564,2108,683
277,1778,-19,1,1,1737,564,2108,683
278,1778,-19,1,1,1766,564,2141,683
279,1778,-19,1,1,1766,564,2141,683
280,1778,-20,1,1,1796,564,2174,683
281,1778,-20,1,1,1796,564,2174,683
528,1779,-19,0,-1,1791,414,2047,504
529,1779,-19,0,-1,1791,414,2047,504
530,1779,-18,0,-1,1759,414,2012,504
531,1779,-18,0,-1,1759,414,2012,504
532,1779,-18,0,-1,1726,414,1978,504
533,1779,-18,0,-1,1726,414,1978,504
534,1779,-17,0,-1,1693,414,1943,504
535,1779,-17,0,-1,1693,414,1943,504
536,1779,-16,0,-1,1660,414,1908,504
537,1779,-16,0,-1,1660,414,1908,504
538,1779,-16,0,-1,1628,414,1874,504
539,1779,-16,0,-1,1628,414,1874,504
540,1779,-15,0,-1,1595,414,1839,504
541,1779,-15,0,-1,1595,414,1839,504
542,1779,-14,0,-1,1562,414,1804,504
543,1779,-14,0,-1,1562,414,1804,504
544,1779,-14,0,-1,1529,414,1770,504
545,1779,-14,0,-1,1529,414,1770,504
546,1779,-13,0,-1,1497,414,1735,504
546,1780,20,1,1,-262,564,116,683
547,1779,-13,0,-1,1497,414,1735,504
547,1780,20,1,1,-262,564,116,683
548,1779,-12,0,-1,1464,414,1700,504
548,1780,19,1,1,-230,564,145,683
549,1779,-12,0,-1,1464,414,1700,504
549,1780,19,1,1,-230,564,145,683
550,1779,-11,0,-1,1431,414,1666,504
550,1780,19,1,1,-198,564,173,683
551,1779,-11,0,-1,1431,414,1666,504
551,1780,19,1,1,-198,564,173,683
552,1779,-11,0,-1,1399,414,1631,504
552,1780,18,1,1,-166,564,202,683
553,1779,-11,0,-1,1399,414,1631,504
553,1780,18,1,1,-166,564,202,683
554,1779,-10,0,-1,1366,414,1596,504
554,1780,18,1,1,-135,564,230,683
555,1779,-10,0,-1,1366,414,1596,504
555,1780,18,1,1,-135,564,230,683
556,1779,-9,0,-1,1333,414,1562,504
556,1780,17,1,1,-103,564,258,683
557,1779,-9,0,-1,1333,414,1562,504
557,1780,17,1,1,-103,564,258,683
558,1779,-9,0,-1,1300,414,1527,504
558,1780,16,1,1,-71,564,287,683
559,1779,-9,0,-1,1300,414,1527,504
559,1780,16,1,1,-71,564,287,683
560,1779,-8,0,-1,1268,414,1492,504
560,1780,16,1,1,-39,564,315,683
561,1779,-8,0,-1,1268,414,1492,504
561,1780,16,1,1,-39,564,315,683
562,1779,-7,0,-1,1235,414,1458,504
562,1780,15,1,1,-7,564,344,683
563,1779,-7,0,-1,1235,414,1458,504
563,1780,15,1,1,-7,564,344,683
564,1779,-7,0,-1,1202,414,1423,504
564,1780,15,1,1,23,564,372,683
565,1779,-7,0,-1,1202,414,1423,504
565,1780,15,1,1,23,564,372,683
566,1779,-6,0,-1,1169,414,1388,504
566,1780,14,1,1,55,564,401,683
567,1779,-6,0,-1,1169,414,1388,504
567,1780,14,1,1,55,564,401,683
568,1779,-5,0,-1,1137,414,1354,504
568,1780,13,1,1,87,564,429,683
569,1779,-5,0,-1,1137,414,1354,504
569,1780,13,1,1,87,564,429,683
570,1779,-5,0,-1,1104,414,1319,504
570,1780,13,1,1,119,564,458,683
571,1779,-5,0,-1,1104,414,1319,504
571,1780,13,1,1,119,564,458,683
572,1779,-4,0,-1,1071,414,1284,504
572,1780,12,1,1,151,564,486,683
573,1779,-4,0,-1,1071,414,1284,504
573,1780,12,1,1,151,564,486,683
574,1779,-3,0,-1,1039,414,1250,504
574,1780,12,1,1,182,564,515,683
575,1779,-3,0,-1,1039,414,1250,504
575,1780,12,1,1,182,564,515,683
576,1779,-3,0,-1,1006,414,1215,504
576,1780,11,1,1,214,564,543,683
577,1779,-3,0,-1,1006,414,1215,504
577,1780,11,1,1,214,564,543,683
578,1779,-2,0,-1,973,414,1180,504
578,1780,10,1,1,246,564,572,683
579,1779,-2,0,-1,973,414,1180,504
579,1780,10,1,1,246,564,572,683
580,1779,-1,0,-1,939,414,1146,504
580,1780,10,1,1,278,564,600,683
581,1779,-1,0,-1,939,414,1146,504
581,1780,10,1,1,278,564,600,683
582,1779,0,0,-1,905,414,1111,504
582,1780,9,1,1,309,564,628,683
583,1779,0,0,-1,905,414,1111,504
583,1780,9,1,1,309,564,628,683
584,1779,0,0,-1,870,414,1077,504
584,1780,9,1,1,341,564,657,683
585,1779,0,0,-1,870,414,1077,504
585,1780,9,1,1,341,564,657,683
586,1779,0,0,-1,835,414,1042,504
586,1780,8,1,1,373,564,685,683
587,1779,0,0,-1,835,414,1042,504
587,1780,8,1,1,373,564,685,683
588,1779,1,0,-1,801,414,1007,504
588,1780,7,1,1,405,564,714,683
589,1779,1,0,-1,801,414,1007,504
589,1780,7,1,1,405,564,714,683
590,1779,1,0,-1,766,414,972,504
590,1780,7,1,1,437,564,742,683
591,1779,1,0,-1,766,414,972,504
591,1780,7,1,1,437,564,742,683
592,1779,2,0,-1,731,414,939,504
592,1780,6,1,1,468,564,771,683
593,1779,2,0,-1,731,414,939,504
593,1780,6,1,1,468,564,771,683
594,1779,3,0,-1,697,414,906,504
594,1780,6,1,1,500,564,799,683
595,1779,3,0,-1,697,414,906,504
595,1780,6,1,1,500,564,799,683
596,1779,3,0,-1,662,414,873,504
596,1780,5,1,1,532,564,828,683
597,1779,3,0,-1,662,414,873,504
597,1780,5,1,1,532,564,828,683
598,1779,4,0,-1,627,414,841,504
598,1780,4,1,1,564,564,856,683
599,1779,4,0,-1,627,414,841,504
599,1780,4,1,1,564,564,856,683
600,1779,5,0,-1,593,414,808,504
600,1780,4,1,1,596,564,885,683
601,1779,5,0,-1,593,414,808,504
601,1780,4,1,1,596,564,885,683
602,1779,5,0,-1,558,414,775,504
602,1780,3,1,1,627,564,913,683
603,1779,5,0,-1,558,414,775,504
603,1780,3,1,1,627,564,913,683
604,1779,6,0,-1,523,414,743,504
604,1780,3,1,1,659,564,942,683
605,1779,6,0,-1,523,414,743,504
605,1780,3,1,1,659,564,942,683
606,1779,7,0,-1,489,414,710,504
606,1780,2,1,1,691,564,971,683
607,1779,7,0,-1,489,414,710,504
607,1780,2,1,1,691,564,971,683
608,1779,8,0,-1,454,414,677,504
608,1780,1,1,1,723,564,1003,683
609,1779,8,0,-1,454,414,677,504
609,1780,1,1,1,723,564,1003,683
610,1779,8,0,-1,419,414,644,504
610,1780,1,1,1,755,564,1035,683
611,1779,8,0,-1,419,414,644,504
611,1780,1,1,1,755,564,1035,683
612,1779,9,0,-1,385,414,612,504
612,1780,0,1,1,786,564,1067,684
613,1779,9,0,-1,385,414,612,504
613,1780,0,1,1,786,564,1067,684
614,1779,10,0,-1,350,414,579,504
614,1780,0,1,1,818,564,1099,684
615,1779,10,0,-1,350,414,579,504
615,1780,0,1,1,818,564,1099,684
616,1779,10,0,-1,315,414,546,504
616,1780,0,1,1,850,564,1130,683
617,1779,10,0,-1,315,414,546,504
617,1780,0,1,1,850,564,1130,683
618,1779,11,0,-1,281,414,513,504
618,1780,-1,1,1,882,564,1162,683
619,1779,11,0,-1,281,414,513,504
619,1780,-1,1,1,882,564,1162,683
620,1779,12,0,-1,246,414,481,504
620,1780,-1,1,1,914,564,1194,683
621,1779,12,0,-1,246,414,481,504
621,1780,-1,1,1,914,564,1194,683
622,1779,12,0,-1,211,414,448,504
622,1780,-2,1,1,945,564,1226,683
623,1779,12,0,-1,211,414,448,504
623,1780,-2,1,1,945,564,1226,683
624,1779,13,0,-1,177,414,415,504
624,1780,-2,1,1,975,564,1257,683
625,1779,13,0,-1,177,414,415,504
625,1780,-2,1,1,975,564,1257,683
626,1779,14,0,-1,142,414,383,504
626,1780,-3,1,1,1004,564,1289,683
627,1779,14,0,-1,142,414,383,504
627,1780,-3,1,1,1004,564,1289,683
628,1779,14,0,-1,107,414,350,504
628,1780,-4,1,1,1032,564,1321,683
629,1779,14,0,-1,107,414,350,504
629,1780,-4,1,1,1032,564,1321,683
630,1779,15,0,-1,73,414,317,504
630,1780,-4,1,1,1061,564,1353,683
631,1779,15,0,-1,73,414,317,504
631,1780,-4,1,1,1061,564,1353,683
632,1779,16,0,-1,38,414,284,504
632,1780,-5,1,1,1089,564,1385,683
633,1779,16,0,-1,38,414,284,504
633,1780,-5,1,1,1089,564,1385,683
634,1779,16,0,-1,3,414,252,504
634,1780,-5,1,1,1118,564,1416,683
635,1779,16,0,-1,3,414,252,504
635,1780,-5,1,1,1118,564,1416,683
636,1779,17,0,-1,-30,414,219,504
636,1780,-6,1,1,1146,564,1448,683
637,1779,17,0,-1,-30,414,219,504
637,1780,-6,1,1,1146,564,1448,683
638,1779,18,0,-1,-65,414,186,504
638,1780,-7,1,1,1175,564,1480,683
639,1779,18,0,-1,-65,414,186,504
639,1780,-7,1,1,1175,564,1480,683
640,1779,19,0,-1,-100,414,153,504
640,1780,-7,1,1,1203,564,1512,683
641,1779,19,0,-1,-100,414,153,504
641,1780,-7,1,1,1203,564,1512,683
642,1779,19,0,-1,-134,414,121,504
642,1780,-8,1,1,1232,564,1544,683
643,1779,19,0,-1,-134,414,121,504
643,1780,-8,1,1,1232,564,1544,683
644,1779,20,0,-1,-169,414,88,504
644,1780,-8,1,1,1260,564,1575,683
645,1779,20,0,-1,-169,414,88,504
645,1780,-8,1,1,1260,564,1575,683
646,1780,-9,1,1,1288,564,1607,683
647,1780,-9,1,1,1288,564,1607,683
648,1780,-10,1,1,1317,564,1639,683
649,1780,-10,1,1,1317,564,1639,683
650,1780,-10,1,1,1345,564,1671,683
651,1780,-10,1,1,1345,564,1671,683
652,1780,-11,1,1,1374,564,1703,683
653,1780,-11,1,1,1374,564,1703,683
654,1780,-11,1,1,1402,564,1734,683
655,1780,-11,1,1,1402,564,1734,683
656,1780,-12,1,1,1431,564,1766,683
657,1780,-12,1,1,1431,564,1766,683
658,1780,-13,1,1,1459,564,1798,683
659,1780,-13,1,1,1459,564,1798,683
660,1780,-13,1,1,1488,564,1830,683
661,1780,-13,1,1,1488,564,1830,683
662,1780,-14,1,1,1516,564,1862,683
663,1780,-14,1,1,1516,564,1862,683
664,1780,-14,1,1,1545,564,1893,683
665,1780,-14,1,1,1545,564,1893,683
666,1780,-15,1,1,1573,564,1925,683
667,1780,-15,1,1,1573,564,1925,683
668,1780,-16,1,1,1602,564,1957,683
669,1780,-16,1,1,1602,564,1957,683
670,1780,-16,1,1,1630,564,1989,683
671,1780,-16,1,1,1630,564,1989,683
672,1780,-17,1,1,1658,564,2021,683
673,1780,-17,1,1,1658,564,2021,683
674,1780,-17,1,1,1687,564,2052,683
675,1780,-17,1,1,1687,564,2052,683
676,1780,-18,1,1,1715,564,2084,683
677,1780,-18,1,1,1715,564,2084,683
678,1780,-19,1,1,1744,564,2116,683
679,1780,-19,1,1,1744,564,2116,683
680,1780,-19,1,1,1772,564,2148,683
681,1780,-19,1,1,1772,564,2148,683
854,1781,-19,0,-1,1793,414,2049,504
855,1781,-19,0,-1,1793,414,2049,504
856,1781,-18,0,-1,1761,414,2015,504
857,1781,-18,0,-1,1761,414,2015,504
858,1781,-18,0,-1,1730,414,1982,504
859,1781,-18,0,-1,1730,414,1982,504
860,1781,-17,0,-1,1699,414,1949,504
861,1781,-17,0,-1,1699,414,1949,504
862,1781,-16,0,-1,1667,414,1916,504
863,1781,-16,0,-1,1667,414,1916,504
864,1781,-16,0,-1,1636,414,1882,504
865,1781,-16,0,-1,1636,414,1882,504
866,1781,-15,0,-1,1604,414,1849,504
867,1781,-15,0,-1,1604,414,1849,504
868,1781,-14,0,-1,1573,414,1816,504
869,1781,-14,0,-1,1573,414,1816,504
870,1781,-14,0,-1,1541,414,1782,504
871,1781,-14,0,-1,1541,414,1782,504
872,1781,-13,0,-1,1510,414,1749,504
873,1781,-13,0,-1,1510,414,1749,504
874,1781,-12,0,-1,1479,414,1716,504
